oare_id,parent_oare_id,fold,top1_score,g35_enabled,g50_enabled,g65_enabled
004a7dbd-57ce-46f8-9691-409be61c676e__c1of2,004a7dbd-57ce-46f8-9691-409be61c676e,1,0.5107,True,True,False
004a7dbd-57ce-46f8-9691-409be61c676e__c2of2,004a7dbd-57ce-46f8-9691-409be61c676e,1,1.0,True,True,True
0064939c-59b9-4448-a63d-34612af0a1b5,0064939c-59b9-4448-a63d-34612af0a1b5,3,1.0,True,True,True
0073f2c0-524c-4bbf-915a-8c1772a4fb98,0073f2c0-524c-4bbf-915a-8c1772a4fb98,2,1.0,True,True,True
009fb838-8038-42bc-ad34-5f795b3840ee,009fb838-8038-42bc-ad34-5f795b3840ee,4,0.7704,True,True,True
00aa1c55-c80c-4346-a159-73ad43ab0ff7__c1of2,00aa1c55-c80c-4346-a159-73ad43ab0ff7,3,0.347,False,False,False
00aa1c55-c80c-4346-a159-73ad43ab0ff7__c2of2,00aa1c55-c80c-4346-a159-73ad43ab0ff7,3,0.2711,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c1of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.683,True,True,True
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c2of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.3365,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c3of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.3671,True,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c4of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.3669,True,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c5of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.2645,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c6of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.2872,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c7of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,0.2148,False,False,False
